"","date","TUSK"
"918","2020-06-09",2.55
"919","2020-06-10",2.325
"920","2020-06-11",1.76
"921","2020-06-12",1.97
"922","2020-06-15",1.93
"923","2020-06-16",1.99
"924","2020-06-17",1.8
"925","2020-06-18",1.76
"926","2020-06-19",1.57
"927","2020-06-22",1.53
"928","2020-06-23",1.44
"929","2020-06-24",1.3
"930","2020-06-25",1.27
"931","2020-06-26",1.25
"932","2020-06-29",1.23
"933","2020-06-30",1.18
"934","2020-07-01",1.19
"935","2020-07-02",1.15
"936","2020-07-06",1.25
"937","2020-07-07",1.18
"938","2020-07-08",1.16
"939","2020-07-09",1.15
"940","2020-07-10",1.23
"941","2020-07-13",1.1
"942","2020-07-14",1.08
"943","2020-07-15",1.1
"944","2020-07-16",1.09
"945","2020-07-17",1.12
"946","2020-07-20",1.09
"947","2020-07-21",1.13
"948","2020-07-22",1.09
"949","2020-07-23",1.1
"950","2020-07-24",1.17
"951","2020-07-27",1.18
"952","2020-07-28",1.17
"953","2020-07-29",1.2
"954","2020-07-30",1.39
"955","2020-07-31",1.39
"956","2020-08-03",1.32
"957","2020-08-04",1.55
"958","2020-08-05",1.59
"959","2020-08-06",1.55
"960","2020-08-07",1.56
"961","2020-08-10",1.69
"962","2020-08-11",1.63
"963","2020-08-12",1.61
"964","2020-08-13",1.61
"965","2020-08-14",1.63
"966","2020-08-17",1.63
"967","2020-08-18",1.59
"968","2020-08-19",1.62
"969","2020-08-20",1.58
"970","2020-08-21",1.5
"971","2020-08-24",1.45
"972","2020-08-25",1.37
"973","2020-08-26",1.39
"974","2020-08-27",1.36
"975","2020-08-28",1.41
"976","2020-08-31",1.36
"977","2020-09-01",1.29
"978","2020-09-02",1.36
