"","date","CMCT"
"941","2010-09-27",131.699997
"942","2010-09-28",136.800003
"943","2010-09-29",132
"944","2010-09-30",129.899994
"945","2010-10-01",127.349998
"946","2010-10-04",123.300003
"947","2010-10-05",123.75
"948","2010-10-06",123.75
"949","2010-10-07",125.25
"950","2010-10-08",124.5
"951","2010-10-11",125.25
"952","2010-10-12",127.5
"953","2010-10-13",127.5
"954","2010-10-14",125.25
"955","2010-10-15",125.699997
"956","2010-10-18",123.75
"957","2010-10-19",123
"958","2010-10-20",123
"959","2010-10-21",124.199997
"960","2010-10-22",124.5
"961","2010-10-25",123.75
"962","2010-10-26",125.400002
"963","2010-10-27",123.150002
"964","2010-10-28",123
"965","2010-10-29",122.550003
"966","2010-11-01",124.199997
"967","2010-11-02",123
"968","2010-11-03",122.699997
"969","2010-11-04",122.699997
"970","2010-11-05",122.699997
"971","2010-11-08",123.75
"972","2010-11-09",123.75
"973","2010-11-10",124.349998
"974","2010-11-11",123.75
"975","2010-11-12",122.25
"976","2010-11-15",123.599998
"977","2010-11-16",124.949997
"978","2010-11-17",122.400002
"979","2010-11-18",123.75
