"","date","WLKP"
"899","2018-02-22",22.950001
"900","2018-02-23",23.4
"901","2018-02-26",23.65
"902","2018-02-27",23.549999
"903","2018-02-28",22.549999
"904","2018-03-01",22.85
"905","2018-03-02",22.85
"906","2018-03-05",23.1
"907","2018-03-06",23.25
"908","2018-03-07",23.049999
"909","2018-03-08",22.85
"910","2018-03-09",22.450001
"911","2018-03-12",23
"912","2018-03-13",22.950001
"913","2018-03-14",23.1
"914","2018-03-15",23
"915","2018-03-16",23.35
"916","2018-03-19",23.200001
"917","2018-03-20",23
"918","2018-03-21",23
"919","2018-03-22",22.799999
"920","2018-03-23",22.700001
"921","2018-03-26",22.6
"922","2018-03-27",22.549999
"923","2018-03-28",22.4
"924","2018-03-29",22.35
"925","2018-04-02",22.25
"926","2018-04-03",22.1
"927","2018-04-04",22.049999
"928","2018-04-05",22
"929","2018-04-06",21.9
"930","2018-04-09",22.450001
"931","2018-04-10",22.85
"932","2018-04-11",22.950001
"933","2018-04-12",23.1
"934","2018-04-13",23.25
"935","2018-04-16",23.4
"936","2018-04-17",23.4
"937","2018-04-18",23.25
"938","2018-04-19",23.25
"939","2018-04-20",23.35
"940","2018-04-23",23.450001
"941","2018-04-24",22.6
"942","2018-04-25",22.65
"943","2018-04-26",22.6
"944","2018-04-27",22.549999
"945","2018-04-30",22.549999
"946","2018-05-01",22.450001
"947","2018-05-02",22.700001
"948","2018-05-03",22.35
"949","2018-05-04",22.35
"950","2018-05-07",22.200001
"951","2018-05-08",22.1
"952","2018-05-09",21.85
"953","2018-05-10",22.049999
"954","2018-05-11",22.1
"955","2018-05-14",22.450001
"956","2018-05-15",22.4
"957","2018-05-16",22.35
"958","2018-05-17",22.5
"959","2018-05-18",22.65
"960","2018-05-21",23
"961","2018-05-22",23
"962","2018-05-23",22.85
"963","2018-05-24",22.5
"964","2018-05-25",23.1
"965","2018-05-29",23.200001
"966","2018-05-30",23.25
"967","2018-05-31",23.25
"968","2018-06-01",23.200001
"969","2018-06-04",23.75
"970","2018-06-05",23.799999
"971","2018-06-06",24.200001
"972","2018-06-07",24.549999
