"","date","NTRS"
"917","2010-08-23",47.720001
"918","2010-08-24",46.939999
"919","2010-08-25",46.5
"920","2010-08-26",45.860001
"921","2010-08-27",47.049999
"922","2010-08-30",45.84
"923","2010-08-31",46.130001
"924","2010-09-01",47.400002
"925","2010-09-02",47.220001
"926","2010-09-03",48.860001
"927","2010-09-07",47.709999
"928","2010-09-08",47.830002
"929","2010-09-09",47.939999
"930","2010-09-10",47.700001
"931","2010-09-13",48.98
"932","2010-09-14",48.610001
"933","2010-09-15",48.68
"934","2010-09-16",49.25
"935","2010-09-17",49.040001
"936","2010-09-20",49.48
"937","2010-09-21",48.439999
"938","2010-09-22",47.540001
"939","2010-09-23",46.970001
"940","2010-09-24",48.639999
"941","2010-09-27",47.970001
"942","2010-09-28",48.099998
"943","2010-09-29",47.82
"944","2010-09-30",48.240002
"945","2010-10-01",48.720001
