"","date","TGI"
"801","2010-03-09",27.834999
"802","2010-03-10",28.049999
"803","2010-03-11",28.82
"804","2010-03-12",29.110001
"805","2010-03-15",29.184999
"806","2010-03-16",29.43
"807","2010-03-17",30.120001
"808","2010-03-18",30.280001
"809","2010-03-19",30.184999
"810","2010-03-22",30.610001
"811","2010-03-23",33.759998
"812","2010-03-24",34.66
"813","2010-03-25",35.48
"814","2010-03-26",35.465
"815","2010-03-29",35.400002
"816","2010-03-30",35.41
"817","2010-03-31",35.044998
"818","2010-04-01",34.685001
"819","2010-04-05",34.424999
"820","2010-04-06",33.764999
"821","2010-04-07",34.375
"822","2010-04-08",34.5
"823","2010-04-09",35.200001
"824","2010-04-12",35.244999
"825","2010-04-13",35.52
"826","2010-04-14",35.705002
"827","2010-04-15",36.240002
"828","2010-04-16",35.709999
"829","2010-04-19",36.105
"830","2010-04-20",35.959999
"831","2010-04-21",37.285
"832","2010-04-22",38.619999
"833","2010-04-23",38.165001
"834","2010-04-26",38.25
"835","2010-04-27",37.459999
"836","2010-04-28",37.080002
"837","2010-04-29",40.290001
"838","2010-04-30",38.779999
"839","2010-05-03",40.014999
"840","2010-05-04",38.314999
"841","2010-05-05",37.830002
"842","2010-05-06",35.57
"843","2010-05-07",34.630001
"844","2010-05-10",36.400002
"845","2010-05-11",37.174999
"846","2010-05-12",38.875
"847","2010-05-13",38.424999
"848","2010-05-14",37.174999
"849","2010-05-17",35.935001
"850","2010-05-18",35.895
"851","2010-05-19",35.57
"852","2010-05-20",32.98
"853","2010-05-21",33.41
"854","2010-05-24",33.945
"855","2010-05-25",33.490002
"856","2010-05-26",33.334999
"857","2010-05-27",35.035
"858","2010-05-28",34.705002
"859","2010-06-01",33.334999
"860","2010-06-02",33.485001
"861","2010-06-03",33.34
"862","2010-06-04",31.955
"863","2010-06-07",30.754999
"864","2010-06-08",30.860001
"865","2010-06-09",31.440001
"866","2010-06-10",32.555
"867","2010-06-11",32.355
"868","2010-06-14",32.939999
"869","2010-06-15",33.674999
"870","2010-06-16",34.025002
"871","2010-06-17",34.34
"872","2010-06-18",35.535
"873","2010-06-21",35.695
"874","2010-06-22",34.584999
"875","2010-06-23",34.790001
"876","2010-06-24",34.285
"877","2010-06-25",34.759998
"878","2010-06-28",35.080002
"879","2010-06-29",33.540001
"880","2010-06-30",33.314999
"881","2010-07-01",33.084999
"882","2010-07-02",32.575001
"883","2010-07-06",32.139999
"884","2010-07-07",33.665001
"885","2010-07-08",34.200001
"886","2010-07-09",34.32
"887","2010-07-12",33.66
"888","2010-07-13",34.279999
"889","2010-07-14",34.560001
"890","2010-07-15",34.5
"891","2010-07-16",32.895
"892","2010-07-19",33.200001
"893","2010-07-20",34.195
"894","2010-07-21",34.375
"895","2010-07-22",35.625
"896","2010-07-23",37.075001
"897","2010-07-26",38.450001
"898","2010-07-27",38.514999
"899","2010-07-28",37.904999
"900","2010-07-29",38.900002
"901","2010-07-30",37.950001
"902","2010-08-02",37.345001
"903","2010-08-03",37.555
"904","2010-08-04",37.615002
"905","2010-08-05",37.415001
"906","2010-08-06",36.59
"907","2010-08-09",36.630001
"908","2010-08-10",36.040001
"909","2010-08-11",34.43
"910","2010-08-12",34.185001
"911","2010-08-13",34.43
"912","2010-08-16",35.34
"913","2010-08-17",35.790001
"914","2010-08-18",35.275002
"915","2010-08-19",35
"916","2010-08-20",35.115002
"917","2010-08-23",34.224998
"918","2010-08-24",33.445
"919","2010-08-25",33.759998
"920","2010-08-26",33.744999
"921","2010-08-27",35.005001
"922","2010-08-30",33.759998
"923","2010-08-31",33.189999
"924","2010-09-01",34.599998
"925","2010-09-02",35.360001
"926","2010-09-03",36.055
"927","2010-09-07",35.540001
"928","2010-09-08",35.900002
"929","2010-09-09",34.919998
"930","2010-09-10",35.610001
"931","2010-09-13",36.080002
"932","2010-09-14",35.665001
"933","2010-09-15",35.264999
"934","2010-09-16",35.044998
"935","2010-09-17",34.974998
"936","2010-09-20",35.915001
"937","2010-09-21",36.264999
"938","2010-09-22",36.134998
"939","2010-09-23",35.52
"940","2010-09-24",36.150002
"941","2010-09-27",35.900002
"942","2010-09-28",37.200001
"943","2010-09-29",37.43
"944","2010-09-30",37.294998
"945","2010-10-01",37.805
"946","2010-10-04",37.25
"947","2010-10-05",38.305
"948","2010-10-06",38.035
"949","2010-10-07",37.970001
"950","2010-10-08",38.884998
"951","2010-10-11",38.794998
"952","2010-10-12",39.485001
"953","2010-10-13",40.264999
"954","2010-10-14",39.985001
"955","2010-10-15",39.779999
"956","2010-10-18",39.645
"957","2010-10-19",38.82
"958","2010-10-20",39.459999
"959","2010-10-21",40.970001
"960","2010-10-22",40.904999
