"","date","AMEH"
"796","2012-05-04",1.4
"797","2012-05-07",1.4
"798","2012-05-08",1.4
"799","2012-05-09",1.4
"800","2012-05-10",1.4
"801","2012-05-11",1.4
"802","2012-05-14",1.4
"803","2012-05-15",1.4
"804","2012-05-16",1.4
"805","2012-05-17",1.4
"806","2012-05-18",1
"807","2012-05-21",1.2
"808","2012-05-22",1.2
"809","2012-05-23",1.2
"810","2012-05-24",1.2
"811","2012-05-25",1.2
"812","2012-05-29",1.2
"813","2012-05-30",1.2
"814","2012-05-31",1.2
"815","2012-06-01",1.2
"816","2012-06-04",1.2
"817","2012-06-05",1.2
"818","2012-06-06",1.2
"819","2012-06-07",1.2
"820","2012-06-08",1.2
"821","2012-06-11",1.2
"822","2012-06-12",1.2
"823","2012-06-13",1.2
"824","2012-06-14",1.2
"825","2012-06-15",1
"826","2012-06-18",1
"827","2012-06-19",1
"828","2012-06-20",1
"829","2012-06-21",1
"830","2012-06-22",1
"831","2012-06-25",1
"832","2012-06-26",1.2
"833","2012-06-27",1.2
"834","2012-06-28",1.2
"835","2012-06-29",1.2
"836","2012-07-02",1.2
"837","2012-07-03",1.2
"838","2012-07-05",1.2
"839","2012-07-06",1.2
"840","2012-07-09",1.3
"841","2012-07-10",1.4
"842","2012-07-11",1.6
"843","2012-07-12",1.9
"844","2012-07-13",1.9
"845","2012-07-16",6.3
"846","2012-07-17",5
"847","2012-07-18",5
"848","2012-07-19",4.5
"849","2012-07-20",4
"850","2012-07-23",3.5
"851","2012-07-24",3.5
"852","2012-07-25",4
"853","2012-07-26",4
"854","2012-07-27",4
"855","2012-07-30",4
"856","2012-07-31",4
"857","2012-08-01",4
"858","2012-08-02",4
"859","2012-08-03",3.6
"860","2012-08-06",3.6
"861","2012-08-07",3.6
"862","2012-08-08",3.6
"863","2012-08-09",3.6
"864","2012-08-10",2
"865","2012-08-13",3
"866","2012-08-14",3
"867","2012-08-15",3
"868","2012-08-16",3
"869","2012-08-17",3
"870","2012-08-20",5.5
"871","2012-08-21",5.5
