"","date","PDSB"
"794","2018-11-21",13.78
"795","2018-11-23",14
"796","2018-11-26",13.5
"797","2018-11-27",10.56
"798","2018-11-28",10.4
"799","2018-11-29",11.4
"800","2018-11-30",13.5
"801","2018-12-03",11.44
"802","2018-12-04",10.8
"803","2018-12-06",10.08
"804","2018-12-07",10.2
"805","2018-12-10",9.3
"806","2018-12-11",9.22
"807","2018-12-12",9.22
"808","2018-12-13",9
"809","2018-12-14",8.72
"810","2018-12-17",8.46
"811","2018-12-18",7.86
"812","2018-12-19",7.82
"813","2018-12-20",6.82
"814","2018-12-21",6.6
"815","2018-12-24",6.12
"816","2018-12-26",6.26
"817","2018-12-27",6.2
"818","2018-12-28",6.5
"819","2018-12-31",6.42
"820","2019-01-02",7.22
"821","2019-01-03",6.8
"822","2019-01-04",7.1
"823","2019-01-07",10
"824","2019-01-08",8.44
"825","2019-01-09",7.64
"826","2019-01-10",8.44
"827","2019-01-11",8.14
"828","2019-01-14",7.6
"829","2019-01-15",7.82
"830","2019-01-16",7.92
"831","2019-01-17",7.9
"832","2019-01-18",8.06
"833","2019-01-22",7.6
"834","2019-01-23",7.72
"835","2019-01-24",7.94
"836","2019-01-25",8.42
"837","2019-01-28",8.4
"838","2019-01-29",8.36
"839","2019-01-30",8.22
"840","2019-01-31",8.8
"841","2019-02-01",8.8
"842","2019-02-04",10.08
"843","2019-02-05",9.1
"844","2019-02-06",9
"845","2019-02-07",9.04
"846","2019-02-08",8.68
"847","2019-02-11",8.44
"848","2019-02-12",7.9
"849","2019-02-13",8.22
"850","2019-02-14",8
"851","2019-02-15",8.1
"852","2019-02-19",7.94
"853","2019-02-20",7.8
"854","2019-02-21",8.26
"855","2019-02-22",8.1
"856","2019-02-25",8.04
"857","2019-02-26",8
"858","2019-02-27",7.9
"859","2019-02-28",7.92
"860","2019-03-01",9
"861","2019-03-04",9.2
"862","2019-03-05",9.18
"863","2019-03-06",9.14
"864","2019-03-07",9.58
"865","2019-03-08",9.82
"866","2019-03-11",10
"867","2019-03-12",9.2
"868","2019-03-13",9.2
"869","2019-03-14",9.04
"870","2019-03-15",10.08
"871","2019-03-18",9.4
"872","2019-03-19",8.19
"873","2019-03-20",8.188
"874","2019-03-21",7.65
"875","2019-03-22",7.669
"876","2019-03-25",7.7
"877","2019-03-26",7.53
"878","2019-03-27",7.57
"879","2019-03-28",7.32
"880","2019-03-29",7.4
"881","2019-04-01",7.82
"882","2019-04-02",7.5
"883","2019-04-03",7.6
"884","2019-04-04",7.73
"885","2019-04-05",7.9
"886","2019-04-08",7.2
"887","2019-04-09",7.5
"888","2019-04-10",7.6
"889","2019-04-11",7.2
"890","2019-04-12",6.91
"891","2019-04-15",6.35
"892","2019-04-16",6.1
"893","2019-04-17",5.9
"894","2019-04-18",5.66
"895","2019-04-22",5.44
"896","2019-04-23",5.92
"897","2019-04-24",6.246
"898","2019-04-25",6.35
"899","2019-04-26",6.39
"900","2019-04-29",6.271
"901","2019-04-30",6.14
"902","2019-05-01",5.545
"903","2019-05-02",6.1
"904","2019-05-03",5.87
"905","2019-05-06",6.11
"906","2019-05-07",5.987
"907","2019-05-08",6.75
"908","2019-05-09",6.61
"909","2019-05-10",6.33
"910","2019-05-13",6.07
"911","2019-05-14",6.14
"912","2019-05-15",8.68
"913","2019-05-16",7.72
"914","2019-05-17",7.2
"915","2019-05-20",6.65
"916","2019-05-21",7.04
"917","2019-05-22",6.36
"918","2019-05-23",6.42
"919","2019-05-24",6.51
"920","2019-05-28",6.698
"921","2019-05-29",6.9
"922","2019-05-30",7.01
"923","2019-05-31",7.12
"924","2019-06-03",7.05
"925","2019-06-04",6.94
"926","2019-06-05",6.36
"927","2019-06-06",6.39
"928","2019-06-07",6.25
"929","2019-06-10",6.4
"930","2019-06-11",6.345
"931","2019-06-12",6.52
"932","2019-06-13",6.46
"933","2019-06-14",6.11
"934","2019-06-17",6.13
"935","2019-06-18",6.07
"936","2019-06-19",6.2
"937","2019-06-20",5.93
"938","2019-06-21",5.64
"939","2019-06-24",5.65
"940","2019-06-25",5.83
"941","2019-06-26",6.05
"942","2019-06-27",6.17
"943","2019-06-28",5.99
"944","2019-07-01",6.04
"945","2019-07-02",6.24
"946","2019-07-03",6.02
"947","2019-07-05",6.13
"948","2019-07-08",6.12
"949","2019-07-09",6.17
"950","2019-07-10",6.33
"951","2019-07-11",6.55
"952","2019-07-12",6.02
"953","2019-07-15",6.19
"954","2019-07-16",6.15
