"","date","JEF"
"834","2010-04-26",23.941591
"835","2010-04-27",23.148401
"836","2010-04-28",22.947824
"837","2010-04-29",23.613375
"838","2010-04-30",23.075464
"839","2010-05-03",23.613375
"840","2010-05-04",22.656076
"841","2010-05-05",22.546671
"842","2010-05-06",21.562019
"843","2010-05-07",20.850883
"844","2010-05-10",21.990526
"845","2010-05-11",21.644073
"846","2010-05-12",22.273157
"847","2010-05-13",21.981409
"848","2010-05-14",21.279388
"849","2010-05-17",21.151749
"850","2010-05-18",20.550018
"851","2010-05-19",20.285622
"852","2010-05-20",19.155098
"853","2010-05-21",20.230919
"854","2010-05-24",19.392143
"855","2010-05-25",19.556252
"856","2010-05-26",19.255386
"857","2010-05-27",20.230919
"858","2010-05-28",19.984756
"859","2010-06-01",18.890699
"860","2010-06-02",19.601837
"861","2010-06-03",19.200684
"862","2010-06-04",18.617186
"863","2010-06-07",18.152212
"864","2010-06-08",18.334555
"865","2010-06-09",18.44396
"866","2010-06-10",19.018339
"867","2010-06-11",19.255386
"868","2010-06-14",19.383026
"869","2010-06-15",19.875351
"870","2010-06-16",19.65654
"871","2010-06-17",19.802414
"872","2010-06-18",19.702126
"873","2010-06-21",19.547134
"874","2010-06-22",19.191566
"875","2010-06-23",19.319206
"876","2010-06-24",18.954519
"877","2010-06-25",19.155098
"878","2010-06-28",18.808645
"879","2010-06-29",18.033689
"880","2010-06-30",17.787527
"881","2010-07-01",17.696356
"882","2010-07-02",17.222265
"883","2010-07-06",17.368139
"884","2010-07-07",17.878698
"885","2010-07-08",18.398375
"886","2010-07-09",18.608068
"887","2010-07-12",18.626303
"888","2010-07-13",19.173332
"889","2010-07-14",19.045691
"890","2010-07-15",18.972754
"891","2010-07-16",18.079275
"892","2010-07-19",18.143095
"893","2010-07-20",18.626303
"894","2010-07-21",18.179564
"895","2010-07-22",19.437729
"896","2010-07-23",19.620071
"897","2010-07-26",20.048576
"898","2010-07-27",20.13063
"899","2010-07-28",20.021225
"900","2010-07-29",20.075928
"901","2010-07-30",20.139748
"902","2010-08-02",20.887352
"903","2010-08-03",20.777946
"904","2010-08-04",20.632072
"905","2010-08-05",20.595604
"906","2010-08-06",19.702126
"907","2010-08-09",20.121513
"908","2010-08-10",19.993874
"909","2010-08-11",19.355675
"910","2010-08-12",19.173332
"911","2010-08-13",18.990988
"912","2010-08-16",18.854231
"913","2010-08-17",19.082159
"914","2010-08-18",19.237152
"915","2010-08-19",18.735708
"916","2010-08-20",18.5716
"917","2010-08-23",18.498663
"918","2010-08-24",18.31632
"919","2010-08-25",18.416609
"920","2010-08-26",18.361906
"921","2010-08-27",19.346558
"922","2010-08-30",19.073042
"923","2010-08-31",19.46508
"924","2010-09-01",20.276505
"925","2010-09-02",20.686775
"926","2010-09-03",21.060577
"927","2010-09-07",20.686775
"928","2010-09-08",20.969406
"929","2010-09-09",21.206451
