"","date","EIGR"
"744","2017-01-11",12.1
"745","2017-01-12",11.75
"746","2017-01-13",12.1
"747","2017-01-17",12.25
"748","2017-01-18",12.3
"749","2017-01-19",11.45
"750","2017-01-20",11.15
"751","2017-01-23",11.55
"752","2017-01-24",11.55
"753","2017-01-25",11.8
"754","2017-01-26",11.75
"755","2017-01-27",11.6
"756","2017-01-30",11.7
"757","2017-01-31",12.2
"758","2017-02-01",11.85
"759","2017-02-02",12
"760","2017-02-03",11.9
"761","2017-02-06",11.85
"762","2017-02-07",11.6
"763","2017-02-08",11.2
"764","2017-02-09",11.2
"765","2017-02-10",11.25
"766","2017-02-13",11.35
"767","2017-02-14",11.25
"768","2017-02-15",11.25
"769","2017-02-16",11.2
"770","2017-02-17",11.35
"771","2017-02-21",11.2
"772","2017-02-22",11.1
"773","2017-02-23",11
"774","2017-02-24",11.05
"775","2017-02-27",11.3
"776","2017-02-28",11.3
"777","2017-03-01",11.4
"778","2017-03-02",11.65
"779","2017-03-03",11.75
"780","2017-03-06",11.65
"781","2017-03-07",11.6
"782","2017-03-08",11.6
"783","2017-03-09",11.75
"784","2017-03-10",11.95
"785","2017-03-13",11.75
"786","2017-03-14",11.3
"787","2017-03-15",11.35
"788","2017-03-16",11.4
"789","2017-03-17",11.2
"790","2017-03-20",11.25
"791","2017-03-21",10.55
"792","2017-03-22",10.5
"793","2017-03-23",10.4
"794","2017-03-24",10.4
"795","2017-03-27",10.8
"796","2017-03-28",10.9
"797","2017-03-29",11.35
"798","2017-03-30",11.25
"799","2017-03-31",11.45
"800","2017-04-03",11.35
"801","2017-04-04",11
"802","2017-04-05",10.8
"803","2017-04-06",9.1
"804","2017-04-07",8.75
"805","2017-04-10",9
"806","2017-04-11",8.85
"807","2017-04-12",8.5
"808","2017-04-13",8.5
"809","2017-04-17",8.3
"810","2017-04-18",8
"811","2017-04-19",8.1
"812","2017-04-20",8.1
"813","2017-04-21",7.9
"814","2017-04-24",7.85
"815","2017-04-25",7.65
"816","2017-04-26",7.7
"817","2017-04-27",7.65
"818","2017-04-28",7.9
"819","2017-05-01",7.8
"820","2017-05-02",7.8
"821","2017-05-03",7.75
"822","2017-05-04",7.8
"823","2017-05-05",7.85
"824","2017-05-08",7.75
"825","2017-05-09",7.7
"826","2017-05-10",7.65
"827","2017-05-11",7.55
"828","2017-05-12",7.05
"829","2017-05-15",7.1
"830","2017-05-16",7.15
"831","2017-05-17",7.15
"832","2017-05-18",7.05
"833","2017-05-19",7.05
"834","2017-05-22",7
"835","2017-05-23",7
"836","2017-05-24",7
"837","2017-05-25",6.9
"838","2017-05-26",6.9
"839","2017-05-30",6.8
