"","date","SNSS"
"795","2010-03-01",320.399994
"796","2010-03-02",320.399994
"797","2010-03-03",324
"798","2010-03-04",313.200012
"799","2010-03-05",309.600006
"800","2010-03-08",295.200012
"801","2010-03-09",291.600006
"802","2010-03-10",291.600006
"803","2010-03-11",313.200012
"804","2010-03-12",306
"805","2010-03-15",295.200012
"806","2010-03-16",291.600006
"807","2010-03-17",284.399994
"808","2010-03-18",259.200012
"809","2010-03-19",262.799988
"810","2010-03-22",288
"811","2010-03-23",277.200012
"812","2010-03-24",284.399994
"813","2010-03-25",273.600006
"814","2010-03-26",316.799988
"815","2010-03-29",324
"816","2010-03-30",288
"817","2010-03-31",316.799988
"818","2010-04-01",342
"819","2010-04-05",388.799988
"820","2010-04-06",381.600006
"821","2010-04-07",392.399994
"822","2010-04-08",385.200012
"823","2010-04-09",360
"824","2010-04-12",345.600006
"825","2010-04-13",360
"826","2010-04-14",352.799988
"827","2010-04-15",345.600006
"828","2010-04-16",331.200012
"829","2010-04-19",327.600006
"830","2010-04-20",331.200012
"831","2010-04-21",331.200012
"832","2010-04-22",356.399994
"833","2010-04-23",342
"834","2010-04-26",352.799988
"835","2010-04-27",414
"836","2010-04-28",385.200012
"837","2010-04-29",334.799988
"838","2010-04-30",331.200012
"839","2010-05-03",352.799988
"840","2010-05-04",334.799988
"841","2010-05-05",345.600006
"842","2010-05-06",313.200012
"843","2010-05-07",331.200012
"844","2010-05-10",338.399994
"845","2010-05-11",345.600006
"846","2010-05-12",345.600006
"847","2010-05-13",338.399994
"848","2010-05-14",342
"849","2010-05-17",349.200012
"850","2010-05-18",338.399994
"851","2010-05-19",334.799988
"852","2010-05-20",309.600006
"853","2010-05-21",288
"854","2010-05-24",284.399994
"855","2010-05-25",280.799988
"856","2010-05-26",280.799988
"857","2010-05-27",288
"858","2010-05-28",288
"859","2010-06-01",288
"860","2010-06-02",295.200012
"861","2010-06-03",302.399994
"862","2010-06-04",280.799988
"863","2010-06-07",244.800003
"864","2010-06-08",219.600006
"865","2010-06-09",194.399994
"866","2010-06-10",194.399994
"867","2010-06-11",187.199997
"868","2010-06-14",194.399994
"869","2010-06-15",212.399994
"870","2010-06-16",234
"871","2010-06-17",216
"872","2010-06-18",208.800003
"873","2010-06-21",201.600006
"874","2010-06-22",198
"875","2010-06-23",194.399994
"876","2010-06-24",190.800003
"877","2010-06-25",190.800003
"878","2010-06-28",183.600006
"879","2010-06-29",162
"880","2010-06-30",169.199997
"881","2010-07-01",162
"882","2010-07-02",158.399994
"883","2010-07-06",154.800003
"884","2010-07-07",158.399994
"885","2010-07-08",172.800003
"886","2010-07-09",176.399994
"887","2010-07-12",172.800003
"888","2010-07-13",183.600006
"889","2010-07-14",180
"890","2010-07-15",187.199997
"891","2010-07-16",176.399994
"892","2010-07-19",172.800003
"893","2010-07-20",165.600006
"894","2010-07-21",158.399994
"895","2010-07-22",154.800003
"896","2010-07-23",154.800003
"897","2010-07-26",165.600006
"898","2010-07-27",172.800003
"899","2010-07-28",172.800003
"900","2010-07-29",172.800003
"901","2010-07-30",176.399994
"902","2010-08-02",176.399994
"903","2010-08-03",183.600006
"904","2010-08-04",187.199997
"905","2010-08-05",187.199997
"906","2010-08-06",183.600006
"907","2010-08-09",180
"908","2010-08-10",172.800003
"909","2010-08-11",151.199997
"910","2010-08-12",158.399994
"911","2010-08-13",151.199997
"912","2010-08-16",151.199997
"913","2010-08-17",158.399994
"914","2010-08-18",154.800003
"915","2010-08-19",151.199997
"916","2010-08-20",147.600006
"917","2010-08-23",147.600006
"918","2010-08-24",147.600006
"919","2010-08-25",144
"920","2010-08-26",147.600006
"921","2010-08-27",151.199997
"922","2010-08-30",151.199997
"923","2010-08-31",147.600006
"924","2010-09-01",144
"925","2010-09-02",140.399994
"926","2010-09-03",144
"927","2010-09-07",140.399994
