"","date","UFPI"
"817","2010-03-31",12.84
"818","2010-04-01",13.19
"819","2010-04-05",13.386666
"820","2010-04-06",12.98
"821","2010-04-07",12.7
"822","2010-04-08",13.223333
"823","2010-04-09",13.613334
"824","2010-04-12",14.07
"825","2010-04-13",14.123333
"826","2010-04-14",14.63
"827","2010-04-15",13.233334
"828","2010-04-16",13.273334
"829","2010-04-19",13.343333
"830","2010-04-20",13.833333
"831","2010-04-21",14.09
"832","2010-04-22",14.826667
"833","2010-04-23",15.026667
"834","2010-04-26",14.43
"835","2010-04-27",13.513333
"836","2010-04-28",13.97
"837","2010-04-29",14.693334
"838","2010-04-30",14.016666
"839","2010-05-03",14.316667
"840","2010-05-04",13.82
"841","2010-05-05",13.243333
"842","2010-05-06",12.986667
"843","2010-05-07",12.68
"844","2010-05-10",13.42
"845","2010-05-11",13.086667
"846","2010-05-12",14.043333
"847","2010-05-13",13.673333
"848","2010-05-14",13.436666
"849","2010-05-17",13.406667
"850","2010-05-18",13.116667
"851","2010-05-19",12.843333
"852","2010-05-20",11.96
"853","2010-05-21",12.003333
"854","2010-05-24",11.706667
"855","2010-05-25",11.693334
"856","2010-05-26",12.526667
"857","2010-05-27",12.896667
"858","2010-05-28",12.35
"859","2010-06-01",11.986667
"860","2010-06-02",12.15
"861","2010-06-03",12.276667
"862","2010-06-04",11.586667
"863","2010-06-07",10.856667
"864","2010-06-08",10.786667
"865","2010-06-09",10.943334
"866","2010-06-10",11.21
"867","2010-06-11",11.32
"868","2010-06-14",11.216666
"869","2010-06-15",11.533334
"870","2010-06-16",11.03
"871","2010-06-17",10.42
"872","2010-06-18",10.446667
"873","2010-06-21",10.663333
"874","2010-06-22",10.443334
"875","2010-06-23",10.513333
"876","2010-06-24",10.37
"877","2010-06-25",10.633333
"878","2010-06-28",10.61
"879","2010-06-29",10.226666
"880","2010-06-30",10.103333
"881","2010-07-01",10.103333
"882","2010-07-02",10.126667
"883","2010-07-06",9.853333
"884","2010-07-07",10.303333
"885","2010-07-08",10.453333
"886","2010-07-09",10.68
"887","2010-07-12",10.323334
"888","2010-07-13",10.983334
"889","2010-07-14",10.873333
"890","2010-07-15",10.45
"891","2010-07-16",10.196667
"892","2010-07-19",9.906667
"893","2010-07-20",9.953333
"894","2010-07-21",9.88
"895","2010-07-22",10.38
"896","2010-07-23",10.573334
"897","2010-07-26",10.77
"898","2010-07-27",10.893333
"899","2010-07-28",10.45
"900","2010-07-29",10.43
"901","2010-07-30",10.323334
"902","2010-08-02",10.74
"903","2010-08-03",10.56
"904","2010-08-04",10.656667
"905","2010-08-05",10.43
"906","2010-08-06",10.306666
"907","2010-08-09",10.54
"908","2010-08-10",10.12
"909","2010-08-11",9.676666
"910","2010-08-12",9.723333
"911","2010-08-13",9.633333
"912","2010-08-16",9.816667
"913","2010-08-17",9.946667
"914","2010-08-18",9.96
"915","2010-08-19",9.64
"916","2010-08-20",9.593333
"917","2010-08-23",9.03
"918","2010-08-24",9.073334
"919","2010-08-25",9.136666
"920","2010-08-26",9.033334
"921","2010-08-27",9.393333
"922","2010-08-30",8.846666
"923","2010-08-31",8.64
"924","2010-09-01",8.97
"925","2010-09-02",9.236667
"926","2010-09-03",9.44
"927","2010-09-07",9.096666
"928","2010-09-08",9.256667
"929","2010-09-09",9.17
"930","2010-09-10",9.26
"931","2010-09-13",9.603333
"932","2010-09-14",9.493333
"933","2010-09-15",9.503333
"934","2010-09-16",9.156667
"935","2010-09-17",9.163333
"936","2010-09-20",9.576667
"937","2010-09-21",9.666667
"938","2010-09-22",9.546667
"939","2010-09-23",9.316667
"940","2010-09-24",9.693334
"941","2010-09-27",9.566667
"942","2010-09-28",9.64
"943","2010-09-29",9.746667
"944","2010-09-30",9.75
"945","2010-10-01",9.833333
"946","2010-10-04",9.773334
"947","2010-10-05",10.106667
"948","2010-10-06",10.096666
"949","2010-10-07",10.013333
"950","2010-10-08",10.086667
