"","date","BGNE"
"721","2018-12-12",141.889999
"722","2018-12-13",131.419998
"723","2018-12-14",133.850006
"724","2018-12-17",133.440002
"725","2018-12-18",132.940002
"726","2018-12-19",133.889999
"727","2018-12-20",128.039993
"728","2018-12-21",124.5
"729","2018-12-24",122.559998
"730","2018-12-26",133.860001
"731","2018-12-27",137.850006
"732","2018-12-28",136.919998
"733","2018-12-31",140.259995
"734","2019-01-02",136.029999
"735","2019-01-03",128.300003
"736","2019-01-04",127.860001
"737","2019-01-07",131.679993
"738","2019-01-08",139.529999
"739","2019-01-09",142.75
"740","2019-01-10",142.369995
"741","2019-01-11",144.25
"742","2019-01-14",137.550003
"743","2019-01-15",143.830002
"744","2019-01-16",140.809998
"745","2019-01-17",141.309998
"746","2019-01-18",143.279999
"747","2019-01-22",136.289993
"748","2019-01-23",132.669998
"749","2019-01-24",125.120003
"750","2019-01-25",126.129997
"751","2019-01-28",128.199997
"752","2019-01-29",123.800003
"753","2019-01-30",126.510002
"754","2019-01-31",129.479996
"755","2019-02-01",131.210007
"756","2019-02-04",131.259995
"757","2019-02-05",131.160004
"758","2019-02-06",130.639999
"759","2019-02-07",126.059998
"760","2019-02-08",129.259995
"761","2019-02-11",132.229996
"762","2019-02-12",136.270004
"763","2019-02-13",135.429993
"764","2019-02-14",134.679993
"765","2019-02-15",132.220001
"766","2019-02-19",138.929993
"767","2019-02-20",139.009995
"768","2019-02-21",138.850006
"769","2019-02-22",137.779999
"770","2019-02-25",139.449997
"771","2019-02-26",140.020004
"772","2019-02-27",139.970001
"773","2019-02-28",137.050003
"774","2019-03-01",151.309998
"775","2019-03-04",151.830002
"776","2019-03-05",149.570007
"777","2019-03-06",143.639999
"778","2019-03-07",139.289993
"779","2019-03-08",128.75
"780","2019-03-11",134.789993
"781","2019-03-12",135.970001
"782","2019-03-13",136.520004
"783","2019-03-14",134.779999
"784","2019-03-15",135.990005
"785","2019-03-18",135
"786","2019-03-19",136.559998
"787","2019-03-20",134.350006
"788","2019-03-21",136.619995
"789","2019-03-22",124.459999
"790","2019-03-25",126.019997
"791","2019-03-26",122.82
"792","2019-03-27",124.029999
"793","2019-03-28",126.5
"794","2019-03-29",132
"795","2019-04-01",138.179993
"796","2019-04-02",141.850006
"797","2019-04-03",144.669998
"798","2019-04-04",146.740005
"799","2019-04-05",146.860001
"800","2019-04-08",145.679993
"801","2019-04-09",144.789993
"802","2019-04-10",146.169998
"803","2019-04-11",138.789993
"804","2019-04-12",130.100006
"805","2019-04-15",128.520004
"806","2019-04-16",128.630005
"807","2019-04-17",121.029999
"808","2019-04-18",119.800003
"809","2019-04-22",120.269997
"810","2019-04-23",121.110001
"811","2019-04-24",120.010002
"812","2019-04-25",120.82
"813","2019-04-26",120.589996
"814","2019-04-29",128.110001
"815","2019-04-30",124.230003
