"","date","MRCC"
"935","2016-07-15",15.73
"936","2016-07-18",15.86
"937","2016-07-19",15.92
"938","2016-07-20",15.45
"939","2016-07-21",15.44
"940","2016-07-22",15.55
"941","2016-07-25",15.57
"942","2016-07-26",15.6
"943","2016-07-27",15.68
"944","2016-07-28",15.52
"945","2016-07-29",15.76
"946","2016-08-01",15.18
"947","2016-08-02",15.45
"948","2016-08-03",15.55
"949","2016-08-04",15.62
"950","2016-08-05",15.55
"951","2016-08-08",15.66
"952","2016-08-09",15.76
"953","2016-08-10",15.5
"954","2016-08-11",15.52
"955","2016-08-12",15.62
"956","2016-08-15",15.75
"957","2016-08-16",15.72
"958","2016-08-17",15.7
"959","2016-08-18",15.82
"960","2016-08-19",15.93
"961","2016-08-22",15.94
"962","2016-08-23",15.91
"963","2016-08-24",15.82
"964","2016-08-25",15.85
"965","2016-08-26",15.89
"966","2016-08-29",15.94
"967","2016-08-30",15.99
"968","2016-08-31",16
"969","2016-09-01",15.94
"970","2016-09-02",15.91
"971","2016-09-06",16.08
"972","2016-09-07",16.25
"973","2016-09-08",16.15
"974","2016-09-09",15.95
"975","2016-09-12",15.95
"976","2016-09-13",15.39
"977","2016-09-14",15.11
"978","2016-09-15",15.28
"979","2016-09-16",15.45
"980","2016-09-19",15.23
"981","2016-09-20",15.21
"982","2016-09-21",15.1
"983","2016-09-22",15.18
"984","2016-09-23",15.25
"985","2016-09-26",15.25
"986","2016-09-27",15.47
"987","2016-09-28",15.35
"988","2016-09-29",15.58
"989","2016-09-30",15.73
"990","2016-10-03",15.63
"991","2016-10-04",15.46
"992","2016-10-05",15.52
"993","2016-10-06",15.37
"994","2016-10-07",15.4
"995","2016-10-10",15.41
"996","2016-10-11",15.45
"997","2016-10-12",15.31
"998","2016-10-13",15.33
"999","2016-10-14",15.17
