"","date","SGOC"
"956","2012-01-23",3.36
"957","2012-01-24",3.16
"958","2012-01-25",3.16
"959","2012-01-26",3
"960","2012-01-27",3.04
"961","2012-01-30",3.64
"962","2012-01-31",3.4
"963","2012-02-01",3.76
"964","2012-02-02",3.44
"965","2012-02-03",3.6
"966","2012-02-06",3.6
"967","2012-02-07",3.6
"968","2012-02-08",3.6
"969","2012-02-09",3.6
"970","2012-02-10",3.6
"971","2012-02-13",3.36
"972","2012-02-14",3.36
"973","2012-02-15",3.44
"974","2012-02-16",3.44
"975","2012-02-17",3.44
"976","2012-02-21",3.6
"977","2012-02-22",3.6
"978","2012-02-23",3.8
"979","2012-02-24",4
"980","2012-02-27",4
"981","2012-02-28",3.72
"982","2012-02-29",4.08
"983","2012-03-01",4.08
"984","2012-03-02",3.96
"985","2012-03-05",3.64
"986","2012-03-06",3.28
"987","2012-03-07",3.28
"988","2012-03-08",3.8
"989","2012-03-09",3.8
"990","2012-03-12",3.8
"991","2012-03-13",3.92
"992","2012-03-14",3.92
"993","2012-03-15",3.92
"994","2012-03-16",3.88
"995","2012-03-19",3.8
"996","2012-03-20",3.92
"997","2012-03-21",3.52
"998","2012-03-22",3.24
"999","2012-03-23",3.24
"1000","2012-03-26",3.04
"1001","2012-03-27",3
"1002","2012-03-28",3
"1003","2012-03-29",3.04
"1004","2012-03-30",3
"1005","2012-04-02",2.72
"1006","2012-04-03",2.64
"1007","2012-04-04",2.64
"1008","2012-04-05",2.72
"1009","2012-04-09",2.88
"1010","2012-04-10",2.6
"1011","2012-04-11",2.92
"1012","2012-04-12",10.2
"1013","2012-04-13",5.96
