"","date","EGBN"
"614","2009-06-10",7.5
"615","2009-06-11",7.527273
"616","2009-06-12",7.527273
"617","2009-06-15",7.327273
"618","2009-06-16",7.045455
"619","2009-06-17",7.527273
"620","2009-06-18",7.090909
"621","2009-06-19",7.518182
"622","2009-06-22",7.136364
"623","2009-06-23",7.081818
"624","2009-06-24",7.145454
"625","2009-06-25",7.490909
"626","2009-06-26",10.072727
"627","2009-06-29",8.390909
"628","2009-06-30",7.972727
"629","2009-07-01",8.454545
"630","2009-07-02",8.190909
"631","2009-07-06",8.118182
"632","2009-07-07",8.045455
"633","2009-07-08",8.681818
"634","2009-07-09",8.3
"635","2009-07-10",7.909091
"636","2009-07-13",8.345454
"637","2009-07-14",8.290909
"638","2009-07-15",8.4
"639","2009-07-16",8.3
"640","2009-07-17",8.372727
"641","2009-07-20",8.4
"642","2009-07-21",8.181818
"643","2009-07-22",8.309091
"644","2009-07-23",8.372727
"645","2009-07-24",8.4
"646","2009-07-27",8.390909
"647","2009-07-28",8.363636
"648","2009-07-29",8.190909
"649","2009-07-30",8.4
"650","2009-07-31",8.1
"651","2009-08-03",8.827272
"652","2009-08-04",8.709091
"653","2009-08-05",8.063637
"654","2009-08-06",8.218182
"655","2009-08-07",8.036364
"656","2009-08-10",8.972727
"657","2009-08-11",8.527273
"658","2009-08-12",8.754545
"659","2009-08-13",8.654546
"660","2009-08-14",8.290909
"661","2009-08-17",8.618182
"662","2009-08-18",8.481818
"663","2009-08-19",8.454545
"664","2009-08-20",8.554545
"665","2009-08-21",8.818182
"666","2009-08-24",8.763637
"667","2009-08-25",8.672728
"668","2009-08-26",8.636364
"669","2009-08-27",8.636364
"670","2009-08-28",8.327272
"671","2009-08-31",8.318182
"672","2009-09-01",8.354546
"673","2009-09-02",8.354546
"674","2009-09-03",8.218182
"675","2009-09-04",8.263637
"676","2009-09-08",8.063637
"677","2009-09-09",7.554545
"678","2009-09-10",8.1
"679","2009-09-11",7.663636
"680","2009-09-14",8.090909
"681","2009-09-15",7.654545
"682","2009-09-16",7.954545
"683","2009-09-17",7.972727
"684","2009-09-18",7.954545
"685","2009-09-21",8.045455
"686","2009-09-22",8.154546
"687","2009-09-23",8.163636
"688","2009-09-24",7.954545
"689","2009-09-25",8.518182
"690","2009-09-28",8.690909
"691","2009-09-29",8.818182
"692","2009-09-30",8.709091
"693","2009-10-01",8.436363
"694","2009-10-02",8.472727
"695","2009-10-05",8.418181
"696","2009-10-06",8.454545
"697","2009-10-07",8.636364
"698","2009-10-08",8.663636
"699","2009-10-09",8.627273
"700","2009-10-12",8.581819
"701","2009-10-13",8.3
"702","2009-10-14",8.436363
"703","2009-10-15",8.590909
"704","2009-10-16",8.418181
"705","2009-10-19",8.409091
"706","2009-10-20",8.409091
"707","2009-10-21",8.363636
"708","2009-10-22",8.409091
"709","2009-10-23",8.581819
"710","2009-10-26",8.418181
"711","2009-10-27",8.318182
"712","2009-10-28",8.654546
"713","2009-10-29",8.427273
"714","2009-10-30",8.5
"715","2009-11-02",8.263637
"716","2009-11-03",8.418181
"717","2009-11-04",8.190909
"718","2009-11-05",8.409091
"719","2009-11-06",8.427273
"720","2009-11-09",8.454545
"721","2009-11-10",8.254545
"722","2009-11-11",8.281818
"723","2009-11-12",8.172728
"724","2009-11-13",8.2
"725","2009-11-16",8.454545
"726","2009-11-17",8.781818
"727","2009-11-18",8.827272
"728","2009-11-19",8.272727
"729","2009-11-20",8.527273
"730","2009-11-23",8.909091
"731","2009-11-24",8.990909
"732","2009-11-25",8.918181
"733","2009-11-27",8.345454
"734","2009-11-30",8.881818
"735","2009-12-01",9.372727
"736","2009-12-02",9.363636
"737","2009-12-03",9.518182
"738","2009-12-04",9.7
"739","2009-12-07",9.790909
"740","2009-12-08",9.545455
"741","2009-12-09",9.872727
"742","2009-12-10",9.554545
"743","2009-12-11",9.681818
"744","2009-12-14",9.745455
"745","2009-12-15",9.5
"746","2009-12-16",9.572727
"747","2009-12-17",9.454545
"748","2009-12-18",9.5
"749","2009-12-21",9.463636
"750","2009-12-22",9.354546
"751","2009-12-23",9.318182
"752","2009-12-24",9.363636
"753","2009-12-28",9.390909
"754","2009-12-29",9.381818
"755","2009-12-30",9.454545
"756","2009-12-31",9.518182
"757","2010-01-04",9.436363
"758","2010-01-05",9.327272
"759","2010-01-06",9.136364
"760","2010-01-07",9.272727
"761","2010-01-08",9.363636
"762","2010-01-11",9.109091
"763","2010-01-12",9.009091
"764","2010-01-13",9.190909
"765","2010-01-14",9.381818
"766","2010-01-15",9.272727
"767","2010-01-19",9.454545
"768","2010-01-20",9.363636
"769","2010-01-21",9.454545
"770","2010-01-22",9.463636
"771","2010-01-25",9.363636
"772","2010-01-26",9.272727
"773","2010-01-27",9.545455
"774","2010-01-28",10
"775","2010-01-29",10.227273
"776","2010-02-01",10.063637
"777","2010-02-02",9.972727
"778","2010-02-03",9.563637
"779","2010-02-04",9.709091
"780","2010-02-05",9.827272
"781","2010-02-08",9.527273
"782","2010-02-09",9.590909
"783","2010-02-10",9.509091
"784","2010-02-11",9.918181
"785","2010-02-12",10.045455
"786","2010-02-16",10.045455
"787","2010-02-17",10.045455
"788","2010-02-18",10.1
"789","2010-02-19",10.118182
"790","2010-02-22",10.227273
"791","2010-02-23",10.572727
"792","2010-02-24",10.827272
"793","2010-02-25",10.818182
"794","2010-02-26",10.645454
"795","2010-03-01",10.809091
"796","2010-03-02",11.145454
"797","2010-03-03",11.154546
"798","2010-03-04",11.327272
"799","2010-03-05",11.372727
"800","2010-03-08",11.281818
"801","2010-03-09",11.272727
"802","2010-03-10",10.981818
"803","2010-03-11",11.054545
"804","2010-03-12",11.090909
"805","2010-03-15",11.063637
"806","2010-03-16",11.418181
"807","2010-03-17",11.236363
"808","2010-03-18",11.172728
"809","2010-03-19",11.136364
"810","2010-03-22",11.172728
"811","2010-03-23",11.590909
"812","2010-03-24",11.772727
"813","2010-03-25",11.509091
"814","2010-03-26",10.9
"815","2010-03-29",11.009091
"816","2010-03-30",10.981818
"817","2010-03-31",10.772727
"818","2010-04-01",10.772727
"819","2010-04-05",10.927273
"820","2010-04-06",11.045455
"821","2010-04-07",11.172728
"822","2010-04-08",11.081819
"823","2010-04-09",10.836364
"824","2010-04-12",10.527273
"825","2010-04-13",10.9
"826","2010-04-14",11.372727
"827","2010-04-15",11.2
"828","2010-04-16",11.127273
"829","2010-04-19",11.190909
"830","2010-04-20",11.754545
"831","2010-04-21",11.436363
"832","2010-04-22",11.7
"833","2010-04-23",11.627273
"834","2010-04-26",11.454545
"835","2010-04-27",11.4
"836","2010-04-28",11.454545
"837","2010-04-29",11.5
