"","date","PEGA"
"909","2010-08-11",11.505
"910","2010-08-12",11.335
"911","2010-08-13",10.825
"912","2010-08-16",10.435
"913","2010-08-17",10.44
"914","2010-08-18",10.53
"915","2010-08-19",10.765
"916","2010-08-20",10.93
"917","2010-08-23",10.715
"918","2010-08-24",10.515
"919","2010-08-25",10.45
"920","2010-08-26",10.49
"921","2010-08-27",11.33
"922","2010-08-30",10.96
"923","2010-08-31",10.95
"924","2010-09-01",11.245
"925","2010-09-02",11.575
"926","2010-09-03",11.71
"927","2010-09-07",11.425
"928","2010-09-08",11.37
"929","2010-09-09",11.57
"930","2010-09-10",11.76
"931","2010-09-13",12.135
"932","2010-09-14",12.225
"933","2010-09-15",12.49
"934","2010-09-16",12.995
"935","2010-09-17",14.195
"936","2010-09-20",14.55
"937","2010-09-21",14.605
"938","2010-09-22",14.395
"939","2010-09-23",14.395
"940","2010-09-24",14.94
"941","2010-09-27",14.835
"942","2010-09-28",14.93
"943","2010-09-29",15.07
"944","2010-09-30",15.525
"945","2010-10-01",15.535
"946","2010-10-04",14.425
"947","2010-10-05",14.31
"948","2010-10-06",14.17
"949","2010-10-07",14.1
"950","2010-10-08",13.93
"951","2010-10-11",13.725
"952","2010-10-12",13.555
"953","2010-10-13",13.555
"954","2010-10-14",13.315
"955","2010-10-15",13.375
"956","2010-10-18",13.36
"957","2010-10-19",12.945
"958","2010-10-20",12.63
"959","2010-10-21",12.12
"960","2010-10-22",11.995
"961","2010-10-25",13.6
"962","2010-10-26",12.95
"963","2010-10-27",12.98
"964","2010-10-28",12.82
"965","2010-10-29",13.525
"966","2010-11-01",13.48
"967","2010-11-02",13.93
"968","2010-11-03",14.16
"969","2010-11-04",14.26
"970","2010-11-05",13.945
"971","2010-11-08",13.855
"972","2010-11-09",13.195
"973","2010-11-10",15.73
"974","2010-11-11",15.05
"975","2010-11-12",14.63
"976","2010-11-15",14.79
"977","2010-11-16",14.625
"978","2010-11-17",14.575
"979","2010-11-18",14.655
"980","2010-11-19",15
"981","2010-11-22",15.485
"982","2010-11-23",15.465
"983","2010-11-24",15.84
"984","2010-11-26",15.785
"985","2010-11-29",15.575
"986","2010-11-30",15.475
"987","2010-12-01",16.280001
"988","2010-12-02",16.365
"989","2010-12-03",16.379999
"990","2010-12-06",16.66
"991","2010-12-07",17.110001
"992","2010-12-08",17.450001
