"","date","TEVA"
"829","2010-04-19",62.560001
"830","2010-04-20",62.259998
"831","2010-04-21",62.25
"832","2010-04-22",61.029999
"833","2010-04-23",61.540001
"834","2010-04-26",60.919998
"835","2010-04-27",59.700001
"836","2010-04-28",58.66
"837","2010-04-29",58.509998
"838","2010-04-30",58.73
"839","2010-05-03",60.029999
"840","2010-05-04",59.029999
"841","2010-05-05",60.560001
"842","2010-05-06",58.799999
"843","2010-05-07",57.369999
"844","2010-05-10",59.18
"845","2010-05-11",58.639999
"846","2010-05-12",58.669998
"847","2010-05-13",57.82
"848","2010-05-14",56.799999
"849","2010-05-17",56.810001
"850","2010-05-18",55.189999
"851","2010-05-19",55.380001
"852","2010-05-20",54.48
"853","2010-05-21",54.59
"854","2010-05-24",55.68
"855","2010-05-25",56.400002
"856","2010-05-26",54.299999
"857","2010-05-27",55.700001
"858","2010-05-28",54.82
"859","2010-06-01",53.68
"860","2010-06-02",54.279999
"861","2010-06-03",54.77
"862","2010-06-04",53.310001
"863","2010-06-07",52.080002
"864","2010-06-08",51.27
"865","2010-06-09",51.299999
"866","2010-06-10",52.639999
"867","2010-06-11",52.970001
"868","2010-06-14",53.279999
"869","2010-06-15",53.68
"870","2010-06-16",54.34
"871","2010-06-17",54.220001
"872","2010-06-18",53.209999
"873","2010-06-21",52.75
"874","2010-06-22",52.040001
"875","2010-06-23",51.889999
"876","2010-06-24",51.990002
"877","2010-06-25",52.259998
"878","2010-06-28",51.299999
"879","2010-06-29",51.98
"880","2010-06-30",51.990002
"881","2010-07-01",52.650002
"882","2010-07-02",52.720001
"883","2010-07-06",53.150002
"884","2010-07-07",53.389999
"885","2010-07-08",52.950001
"886","2010-07-09",54.209999
"887","2010-07-12",53.68
"888","2010-07-13",54.34
"889","2010-07-14",55.34
"890","2010-07-15",55.73
"891","2010-07-16",54.330002
"892","2010-07-19",54.529999
"893","2010-07-20",54.029999
"894","2010-07-21",53.990002
"895","2010-07-22",54
"896","2010-07-23",49.380001
"897","2010-07-26",50.150002
"898","2010-07-27",50.110001
"899","2010-07-28",48.439999
"900","2010-07-29",47.169998
"901","2010-07-30",48.849998
"902","2010-08-02",50.220001
"903","2010-08-03",50.18
"904","2010-08-04",49.59
"905","2010-08-05",50.389999
"906","2010-08-06",49.849998
"907","2010-08-09",50.18
"908","2010-08-10",50.889999
"909","2010-08-11",50.029999
"910","2010-08-12",50.59
"911","2010-08-13",49.970001
"912","2010-08-16",50.27
"913","2010-08-17",50.580002
"914","2010-08-18",50.740002
"915","2010-08-19",50.279999
"916","2010-08-20",50.279999
"917","2010-08-23",50.25
"918","2010-08-24",49.970001
"919","2010-08-25",50.419998
"920","2010-08-26",49.900002
"921","2010-08-27",50.349998
"922","2010-08-30",50.189999
"923","2010-08-31",50.619999
"924","2010-09-01",51.110001
"925","2010-09-02",51.509998
"926","2010-09-03",51.779999
"927","2010-09-07",53.119999
"928","2010-09-08",54.310001
"929","2010-09-09",54.23
"930","2010-09-10",54.150002
"931","2010-09-13",54.310001
"932","2010-09-14",54.599998
"933","2010-09-15",54.259998
"934","2010-09-16",53.34
"935","2010-09-17",53.48
"936","2010-09-20",54.560001
"937","2010-09-21",55.52
"938","2010-09-22",54.939999
"939","2010-09-23",54.290001
"940","2010-09-24",54.779999
"941","2010-09-27",53.630001
"942","2010-09-28",53.610001
"943","2010-09-29",52.59
"944","2010-09-30",52.75
"945","2010-10-01",53.52
"946","2010-10-04",53.150002
"947","2010-10-05",53.200001
"948","2010-10-06",53.18
"949","2010-10-07",53.07
