"","date","KFRC"
"770","2010-01-22",14.51
"771","2010-01-25",14.31
"772","2010-01-26",14.13
"773","2010-01-27",14.26
"774","2010-01-28",13.91
"775","2010-01-29",13.37
"776","2010-02-01",13.4
"777","2010-02-02",13.92
"778","2010-02-03",13.97
"779","2010-02-04",13.54
"780","2010-02-05",14.27
"781","2010-02-08",14.37
"782","2010-02-09",13.91
"783","2010-02-10",13.88
"784","2010-02-11",13.81
"785","2010-02-12",13.9
"786","2010-02-16",14.13
"787","2010-02-17",13.98
"788","2010-02-18",13.72
"789","2010-02-19",13.74
"790","2010-02-22",13.69
"791","2010-02-23",13.53
"792","2010-02-24",13.63
"793","2010-02-25",13.5
"794","2010-02-26",13.32
"795","2010-03-01",13.83
"796","2010-03-02",13.93
"797","2010-03-03",14.13
"798","2010-03-04",14.09
"799","2010-03-05",14.72
"800","2010-03-08",14.6
"801","2010-03-09",14.72
"802","2010-03-10",14.85
"803","2010-03-11",15.1
"804","2010-03-12",14.94
"805","2010-03-15",14.78
"806","2010-03-16",15.03
"807","2010-03-17",15.03
"808","2010-03-18",15.14
"809","2010-03-19",15.58
"810","2010-03-22",15.93
"811","2010-03-23",15.7
"812","2010-03-24",15.28
"813","2010-03-25",15.2
"814","2010-03-26",15.25
"815","2010-03-29",15.25
"816","2010-03-30",15.61
"817","2010-03-31",15.21
"818","2010-04-01",15.43
"819","2010-04-05",16.049999
"820","2010-04-06",16.059999
"821","2010-04-07",16.139999
"822","2010-04-08",16.17
"823","2010-04-09",15.89
"824","2010-04-12",16.059999
"825","2010-04-13",15.5
"826","2010-04-14",15.35
"827","2010-04-15",15.72
"828","2010-04-16",15.95
"829","2010-04-19",15.47
"830","2010-04-20",15.6
"831","2010-04-21",15.48
"832","2010-04-22",15.35
"833","2010-04-23",15.29
"834","2010-04-26",15.17
"835","2010-04-27",15.35
"836","2010-04-28",14.59
"837","2010-04-29",14.25
"838","2010-04-30",13.91
"839","2010-05-03",14.43
"840","2010-05-04",13.97
"841","2010-05-05",14.79
"842","2010-05-06",14.43
"843","2010-05-07",13.85
"844","2010-05-10",14.12
"845","2010-05-11",14.38
"846","2010-05-12",15.08
"847","2010-05-13",14.87
"848","2010-05-14",14.43
"849","2010-05-17",13.96
"850","2010-05-18",14.03
"851","2010-05-19",14.03
"852","2010-05-20",13.12
"853","2010-05-21",13.15
"854","2010-05-24",12.89
"855","2010-05-25",12.55
"856","2010-05-26",12.6
"857","2010-05-27",13.54
"858","2010-05-28",13.52
"859","2010-06-01",12.68
"860","2010-06-02",13.05
"861","2010-06-03",13.32
"862","2010-06-04",12.75
"863","2010-06-07",12.8
"864","2010-06-08",12.38
"865","2010-06-09",12.12
"866","2010-06-10",12.59
