"","date","GEL"
"848","2010-05-14",18.35
"849","2010-05-17",17.76
"850","2010-05-18",17.860001
"851","2010-05-19",17.540001
"852","2010-05-20",16.99
"853","2010-05-21",17.65
"854","2010-05-24",17.51
"855","2010-05-25",17.75
"856","2010-05-26",18
"857","2010-05-27",18.15
"858","2010-05-28",17.68
"859","2010-06-01",17.959999
"860","2010-06-02",17.959999
"861","2010-06-03",18.27
"862","2010-06-04",18.129999
"863","2010-06-07",18.059999
"864","2010-06-08",17.99
"865","2010-06-09",17.959999
"866","2010-06-10",18.49
"867","2010-06-11",19.02
"868","2010-06-14",19.040001
"869","2010-06-15",19.309999
"870","2010-06-16",19.41
"871","2010-06-17",19.34
"872","2010-06-18",19.280001
"873","2010-06-21",19.15
"874","2010-06-22",19.389999
"875","2010-06-23",19.1
"876","2010-06-24",19.299999
"877","2010-06-25",19.549999
"878","2010-06-28",19.33
"879","2010-06-29",18.870001
"880","2010-06-30",19.15
"881","2010-07-01",19.299999
"882","2010-07-02",19.299999
"883","2010-07-06",19.15
"884","2010-07-07",19.99
"885","2010-07-08",19.950001
"886","2010-07-09",20.01
"887","2010-07-12",19.9
"888","2010-07-13",20.290001
"889","2010-07-14",20.33
"890","2010-07-15",20.559999
"891","2010-07-16",20.440001
"892","2010-07-19",20.540001
"893","2010-07-20",20.700001
"894","2010-07-21",20.58
"895","2010-07-22",20.709999
"896","2010-07-23",20.860001
"897","2010-07-26",20.85
"898","2010-07-27",20.620001
"899","2010-07-28",20.620001
"900","2010-07-29",20.75
"901","2010-07-30",20.59
"902","2010-08-02",20.75
"903","2010-08-03",20.85
"904","2010-08-04",20.76
"905","2010-08-05",20.9
"906","2010-08-06",21.27
"907","2010-08-09",21.08
"908","2010-08-10",20.82
"909","2010-08-11",20.24
"910","2010-08-12",20.030001
"911","2010-08-13",20.48
"912","2010-08-16",20.65
"913","2010-08-17",20.51
"914","2010-08-18",20.360001
"915","2010-08-19",20.5
"916","2010-08-20",20.57
"917","2010-08-23",20.799999
"918","2010-08-24",20.360001
"919","2010-08-25",20.98
"920","2010-08-26",20.98
"921","2010-08-27",21.190001
"922","2010-08-30",21.25
"923","2010-08-31",21.15
"924","2010-09-01",21.450001
"925","2010-09-02",21.49
"926","2010-09-03",21.440001
"927","2010-09-07",21.83
"928","2010-09-08",21.450001
"929","2010-09-09",21.889999
"930","2010-09-10",22.200001
"931","2010-09-13",22.719999
"932","2010-09-14",23.200001
"933","2010-09-15",22.73
"934","2010-09-16",23.01
"935","2010-09-17",22.969999
"936","2010-09-20",23.27
"937","2010-09-21",22.889999
"938","2010-09-22",22.950001
"939","2010-09-23",22.77
"940","2010-09-24",22.41
"941","2010-09-27",22.34
"942","2010-09-28",23
"943","2010-09-29",23.15
"944","2010-09-30",23.52
"945","2010-10-01",23.709999
"946","2010-10-04",23.34
"947","2010-10-05",24.030001
"948","2010-10-06",23.969999
"949","2010-10-07",24.85
"950","2010-10-08",24.940001
"951","2010-10-11",24.66
"952","2010-10-12",24.530001
"953","2010-10-13",25.200001
"954","2010-10-14",25.01
"955","2010-10-15",25.129999
"956","2010-10-18",25.190001
"957","2010-10-19",25.360001
"958","2010-10-20",26
"959","2010-10-21",25.870001
"960","2010-10-22",26.049999
"961","2010-10-25",25.25
"962","2010-10-26",25.360001
"963","2010-10-27",25.41
"964","2010-10-28",25.4
"965","2010-10-29",25.389999
"966","2010-11-01",24.93
"967","2010-11-02",25.030001
"968","2010-11-03",24.610001
"969","2010-11-04",23.950001
"970","2010-11-05",24.280001
"971","2010-11-08",24.540001
"972","2010-11-09",24.25
"973","2010-11-10",24.120001
"974","2010-11-11",24.1
"975","2010-11-12",24.17
"976","2010-11-15",24.26
"977","2010-11-16",23.24
