"","date","RUSHB"
"664","2009-08-20",7.873333
"665","2009-08-21",7.993333
"666","2009-08-24",8.106667
"667","2009-08-25",8.38
"668","2009-08-26",8.3
"669","2009-08-27",8.433333
"670","2009-08-28",8.346666
"671","2009-08-31",8.466666
"672","2009-09-01",7.306667
"673","2009-09-02",7.353333
"674","2009-09-03",7.393333
"675","2009-09-04",7.433333
"676","2009-09-08",7.366667
"677","2009-09-09",7.46
"678","2009-09-10",7.74
"679","2009-09-11",7.573333
"680","2009-09-14",7.32
"681","2009-09-15",7.34
"682","2009-09-16",7.333333
"683","2009-09-17",7.533333
"684","2009-09-18",7.126667
"685","2009-09-21",7.506667
"686","2009-09-22",7.486667
"687","2009-09-23",7.266667
"688","2009-09-24",7.36
"689","2009-09-25",7.26
"690","2009-09-28",7.606667
"691","2009-09-29",7.546667
"692","2009-09-30",7.313334
"693","2009-10-01",6.94
"694","2009-10-02",6.68
"695","2009-10-05",6.846667
"696","2009-10-06",7
"697","2009-10-07",7.006667
"698","2009-10-08",7.066667
"699","2009-10-09",7.046667
"700","2009-10-12",7.1
"701","2009-10-13",7.24
"702","2009-10-14",7.166667
"703","2009-10-15",6.953333
"704","2009-10-16",6.973333
"705","2009-10-19",6.933333
"706","2009-10-20",7.006667
"707","2009-10-21",6.606667
"708","2009-10-22",6.66
"709","2009-10-23",6.386667
"710","2009-10-26",6.5
"711","2009-10-27",6.4
"712","2009-10-28",6.22
"713","2009-10-29",6.233333
"714","2009-10-30",6.1
"715","2009-11-02",6.14
"716","2009-11-03",6.4
"717","2009-11-04",6.24
"718","2009-11-05",6.293334
"719","2009-11-06",6.433333
"720","2009-11-09",6.513333
"721","2009-11-10",6.373333
"722","2009-11-11",6.493333
"723","2009-11-12",6.253334
"724","2009-11-13",6.446667
"725","2009-11-16",6.933333
"726","2009-11-17",6.873333
"727","2009-11-18",6.926667
"728","2009-11-19",6.526667
"729","2009-11-20",6.02
"730","2009-11-23",6.273334
"731","2009-11-24",6.266667
"732","2009-11-25",6.286667
"733","2009-11-27",6.04
"734","2009-11-30",6.52
"735","2009-12-01",6.366667
"736","2009-12-02",6.333333
"737","2009-12-03",6.333333
"738","2009-12-04",6.793334
"739","2009-12-07",6.993333
"740","2009-12-08",6.98
"741","2009-12-09",6.646667
"742","2009-12-10",6.246666
"743","2009-12-11",6.28
"744","2009-12-14",6.153333
"745","2009-12-15",6.433333
"746","2009-12-16",6.293334
"747","2009-12-17",6.253334
"748","2009-12-18",6.053333
"749","2009-12-21",6.266667
"750","2009-12-22",6.88
"751","2009-12-23",7
"752","2009-12-24",7.12
"753","2009-12-28",7.133333
"754","2009-12-29",7.16
"755","2009-12-30",7.193333
"756","2009-12-31",7.006667
"757","2010-01-04",7.126667
"758","2010-01-05",7.24
"759","2010-01-06",6.913333
"760","2010-01-07",6.88
"761","2010-01-08",6.833333
"762","2010-01-11",7.14
"763","2010-01-12",6.886667
"764","2010-01-13",6.873333
"765","2010-01-14",7.006667
"766","2010-01-15",6.6
"767","2010-01-19",7.046667
"768","2010-01-20",6.846667
"769","2010-01-21",6.58
"770","2010-01-22",6.773334
"771","2010-01-25",6.753334
"772","2010-01-26",6.573333
"773","2010-01-27",6.873333
"774","2010-01-28",6.64
"775","2010-01-29",6.626667
"776","2010-02-01",6.726666
"777","2010-02-02",6.793334
"778","2010-02-03",6.7
"779","2010-02-04",6.7
"780","2010-02-05",6.726666
"781","2010-02-08",6.466667
"782","2010-02-09",6.473333
"783","2010-02-10",6.326667
"784","2010-02-11",6.42
"785","2010-02-12",6.453333
"786","2010-02-16",6.3
"787","2010-02-17",6.7
"788","2010-02-18",6.833333
"789","2010-02-19",7.033333
"790","2010-02-22",7.14
"791","2010-02-23",6.806667
"792","2010-02-24",6.426667
"793","2010-02-25",6.453333
"794","2010-02-26",6.413333
"795","2010-03-01",6.326667
"796","2010-03-02",6.44
"797","2010-03-03",6.386667
"798","2010-03-04",6.42
"799","2010-03-05",6.706666
"800","2010-03-08",6.893333
"801","2010-03-09",7.586667
"802","2010-03-10",7.306667
"803","2010-03-11",7.313334
"804","2010-03-12",7.226666
"805","2010-03-15",7.4
"806","2010-03-16",7.36
"807","2010-03-17",7.493333
"808","2010-03-18",7.506667
"809","2010-03-19",7.613333
"810","2010-03-22",7.633333
"811","2010-03-23",7.566667
"812","2010-03-24",7.5
"813","2010-03-25",7.6
"814","2010-03-26",7.6
"815","2010-03-29",7.493333
"816","2010-03-30",7.68
"817","2010-03-31",8.2
"818","2010-04-01",8.173333
"819","2010-04-05",8.193334
"820","2010-04-06",8.673333
"821","2010-04-07",9.066667
"822","2010-04-08",9.266666
"823","2010-04-09",9.24
"824","2010-04-12",9.4
"825","2010-04-13",9.36
"826","2010-04-14",9.486667
"827","2010-04-15",9.74
"828","2010-04-16",9.313334
"829","2010-04-19",9.3
"830","2010-04-20",9.093333
"831","2010-04-21",9.38
"832","2010-04-22",9.333333
"833","2010-04-23",9.34
"834","2010-04-26",9.346666
"835","2010-04-27",9.266666
"836","2010-04-28",9.173333
"837","2010-04-29",9.446667
"838","2010-04-30",9.173333
"839","2010-05-03",9.333333
"840","2010-05-04",9.186666
"841","2010-05-05",8.806666
"842","2010-05-06",8.6
"843","2010-05-07",8.206667
"844","2010-05-10",8.693334
"845","2010-05-11",9.213333
"846","2010-05-12",9.206667
"847","2010-05-13",8.973333
"848","2010-05-14",8.806666
"849","2010-05-17",8.826667
"850","2010-05-18",8.466666
"851","2010-05-19",8.1
"852","2010-05-20",7.36
"853","2010-05-21",7.646667
"854","2010-05-24",7.653333
"855","2010-05-25",7.54
"856","2010-05-26",8.073334
"857","2010-05-27",8.473333
"858","2010-05-28",8.493333
"859","2010-06-01",8.026667
"860","2010-06-02",8.113334
"861","2010-06-03",8.213333
"862","2010-06-04",7.733333
"863","2010-06-07",7.733333
"864","2010-06-08",7.853333
"865","2010-06-09",7.68
"866","2010-06-10",8.053333
"867","2010-06-11",8.46
"868","2010-06-14",8.546667
"869","2010-06-15",8.6
"870","2010-06-16",8.613334
"871","2010-06-17",8.58
"872","2010-06-18",8.713333
"873","2010-06-21",8.766666
"874","2010-06-22",8.3
"875","2010-06-23",8.126667
"876","2010-06-24",8.126667
"877","2010-06-25",8.233334
"878","2010-06-28",8.166667
"879","2010-06-29",7.873333
"880","2010-06-30",7.766667
"881","2010-07-01",7.673333
"882","2010-07-02",7.493333
"883","2010-07-06",7.22
"884","2010-07-07",7.16
