"","date","SAGE"
"626","2017-01-10",53.849998
"627","2017-01-11",52.849998
"628","2017-01-12",53.880001
"629","2017-01-13",55.360001
"630","2017-01-17",54.240002
"631","2017-01-18",53.740002
"632","2017-01-19",53.029999
"633","2017-01-20",53.220001
"634","2017-01-23",52.349998
"635","2017-01-24",49.84
"636","2017-01-25",48.98
"637","2017-01-26",48.52
"638","2017-01-27",47.450001
"639","2017-01-30",46.009998
"640","2017-01-31",47.98
"641","2017-02-01",47.349998
"642","2017-02-02",47.52
"643","2017-02-03",48.459999
"644","2017-02-06",47.700001
"645","2017-02-07",47.18
"646","2017-02-08",47.490002
"647","2017-02-09",47.540001
"648","2017-02-10",47.419998
"649","2017-02-13",52.990002
"650","2017-02-14",54.330002
"651","2017-02-15",57.580002
"652","2017-02-16",62.75
"653","2017-02-17",64.980003
"654","2017-02-21",64.059998
"655","2017-02-22",61.93
"656","2017-02-23",62.330002
"657","2017-02-24",62.299999
"658","2017-02-27",68.809998
"659","2017-02-28",67.400002
"660","2017-03-01",70.169998
"661","2017-03-02",68.620003
"662","2017-03-03",66.860001
"663","2017-03-06",65.720001
"664","2017-03-07",64.68
"665","2017-03-08",66.610001
"666","2017-03-09",67.739998
"667","2017-03-10",68.419998
"668","2017-03-13",69.169998
"669","2017-03-14",67.989998
"670","2017-03-15",69.559998
"671","2017-03-16",68.07
"672","2017-03-17",67.330002
"673","2017-03-20",68.400002
"674","2017-03-21",63.77
"675","2017-03-22",65.980003
"676","2017-03-23",65.089996
"677","2017-03-24",62.490002
"678","2017-03-27",65.5
"679","2017-03-28",64.300003
"680","2017-03-29",64.150002
"681","2017-03-30",64.830002
"682","2017-03-31",71.07
"683","2017-04-03",70.349998
"684","2017-04-04",72.040001
"685","2017-04-05",70.169998
"686","2017-04-06",71.099998
"687","2017-04-07",73.440002
"688","2017-04-10",71.550003
"689","2017-04-11",69.93
"690","2017-04-12",72
"691","2017-04-13",70.389999
"692","2017-04-17",70.379997
"693","2017-04-18",67.949997
"694","2017-04-19",70.269997
"695","2017-04-20",71.629997
"696","2017-04-21",72.82
"697","2017-04-24",72.849998
"698","2017-04-25",73.370003
"699","2017-04-26",72.160004
"700","2017-04-27",71.720001
"701","2017-04-28",71
"702","2017-05-01",73.43
"703","2017-05-02",69.279999
"704","2017-05-03",68.519997
"705","2017-05-04",70.050003
"706","2017-05-05",70.860001
"707","2017-05-08",68.220001
"708","2017-05-09",66.029999
"709","2017-05-10",66.370003
"710","2017-05-11",68.690002
"711","2017-05-12",71.080002
"712","2017-05-15",70.669998
"713","2017-05-16",70.199997
"714","2017-05-17",65.389999
"715","2017-05-18",67.82
"716","2017-05-19",65.540001
"717","2017-05-22",66.889999
"718","2017-05-23",67.419998
"719","2017-05-24",67.639999
"720","2017-05-25",68.150002
"721","2017-05-26",66.044998
"722","2017-05-30",64.75
"723","2017-05-31",66.110001
"724","2017-06-01",67.959999
"725","2017-06-02",68.949997
"726","2017-06-05",69.669998
"727","2017-06-06",70.849998
