"","date","HDS"
"701","2016-04-08",33.599998
"702","2016-04-11",33.290001
"703","2016-04-12",33.07
"704","2016-04-13",33.5
"705","2016-04-14",33.389999
"706","2016-04-15",33.330002
"707","2016-04-18",33.459999
"708","2016-04-19",33.259998
"709","2016-04-20",33.759998
"710","2016-04-21",33.59
"711","2016-04-22",34.400002
"712","2016-04-25",33.98
"713","2016-04-26",34.639999
"714","2016-04-27",35.290001
"715","2016-04-28",34.330002
"716","2016-04-29",34.279999
"717","2016-05-02",34.950001
"718","2016-05-03",33.970001
"719","2016-05-04",33.759998
"720","2016-05-05",33.360001
"721","2016-05-06",33.509998
"722","2016-05-09",33.200001
"723","2016-05-10",33.619999
"724","2016-05-11",33.23
"725","2016-05-12",33.139999
"726","2016-05-13",32.77
"727","2016-05-16",33.330002
"728","2016-05-17",33.630001
"729","2016-05-18",33.220001
"730","2016-05-19",33.299999
"731","2016-05-20",33.380001
"732","2016-05-23",33.689999
"733","2016-05-24",34.330002
"734","2016-05-25",34.41
"735","2016-05-26",34.240002
"736","2016-05-27",34.5
"737","2016-05-31",35.299999
"738","2016-06-01",35.150002
"739","2016-06-02",34.779999
"740","2016-06-03",34.700001
"741","2016-06-06",34.919998
"742","2016-06-07",35.77
"743","2016-06-08",36.419998
"744","2016-06-09",36.290001
"745","2016-06-10",34.700001
"746","2016-06-13",34.139999
"747","2016-06-14",33.970001
"748","2016-06-15",34.220001
"749","2016-06-16",34.57
"750","2016-06-17",34.18
"751","2016-06-20",35.290001
"752","2016-06-21",35.27
"753","2016-06-22",34.900002
"754","2016-06-23",35.27
"755","2016-06-24",34.240002
"756","2016-06-27",32.869999
"757","2016-06-28",33.240002
"758","2016-06-29",34.060001
"759","2016-06-30",34.82
"760","2016-07-01",34.700001
"761","2016-07-05",33.860001
"762","2016-07-06",33.900002
"763","2016-07-07",34.299999
"764","2016-07-08",35.41
"765","2016-07-11",36
"766","2016-07-12",35.869999
"767","2016-07-13",35.630001
"768","2016-07-14",36.66
"769","2016-07-15",36.84
"770","2016-07-18",36.169998
"771","2016-07-19",35.84
"772","2016-07-20",36.189999
"773","2016-07-21",36
"774","2016-07-22",36.400002
"775","2016-07-25",36.189999
"776","2016-07-26",36.709999
"777","2016-07-27",36.43
"778","2016-07-28",36.41
"779","2016-07-29",36.189999
"780","2016-08-01",35.580002
"781","2016-08-02",34.919998
"782","2016-08-03",35.330002
"783","2016-08-04",35.279999
"784","2016-08-05",35.630001
"785","2016-08-08",35.599998
"786","2016-08-09",35.669998
"787","2016-08-10",35.830002
"788","2016-08-11",36.130001
"789","2016-08-12",36.049999
"790","2016-08-15",36.650002
"791","2016-08-16",36.240002
"792","2016-08-17",35.709999
