"","date","PFSI"
"927","2017-01-11",16.65
"928","2017-01-12",16.200001
"929","2017-01-13",16.1
"930","2017-01-17",15.95
"931","2017-01-18",15.9
"932","2017-01-19",15.9
"933","2017-01-20",16.25
"934","2017-01-23",16.4
"935","2017-01-24",16.200001
"936","2017-01-25",16.4
"937","2017-01-26",16.85
"938","2017-01-27",17.25
"939","2017-01-30",16.9
"940","2017-01-31",16.9
"941","2017-02-01",17
"942","2017-02-02",17
"943","2017-02-03",18.799999
"944","2017-02-06",19.15
"945","2017-02-07",19
"946","2017-02-08",18.200001
"947","2017-02-09",18.1
"948","2017-02-10",18.299999
"949","2017-02-13",18.200001
"950","2017-02-14",18.5
"951","2017-02-15",18.5
"952","2017-02-16",18.450001
"953","2017-02-17",18.4
"954","2017-02-21",18.4
"955","2017-02-22",18.25
"956","2017-02-23",18.35
"957","2017-02-24",18.25
"958","2017-02-27",18
"959","2017-02-28",17.85
"960","2017-03-01",17.950001
"961","2017-03-02",18
"962","2017-03-03",17.85
"963","2017-03-06",18.049999
"964","2017-03-07",18.049999
"965","2017-03-08",17.6
"966","2017-03-09",17.75
"967","2017-03-10",17.65
"968","2017-03-13",17.549999
"969","2017-03-14",17.299999
"970","2017-03-15",17.450001
"971","2017-03-16",17.5
"972","2017-03-17",17.35
"973","2017-03-20",17.299999
"974","2017-03-21",16.549999
"975","2017-03-22",16.5
"976","2017-03-23",16.549999
"977","2017-03-24",16.1
"978","2017-03-27",16.450001
