"","date","TEAM"
"904","2019-07-15",139.509995
"905","2019-07-16",137.160004
"906","2019-07-17",136.429993
"907","2019-07-18",136.059998
"908","2019-07-19",134.160004
"909","2019-07-22",135.279999
"910","2019-07-23",134.059998
"911","2019-07-24",135.350006
"912","2019-07-25",134.509995
"913","2019-07-26",146.039993
"914","2019-07-29",139.050003
"915","2019-07-30",137
"916","2019-07-31",140.119995
"917","2019-08-01",143.919998
"918","2019-08-02",141.199997
"919","2019-08-05",133.190002
"920","2019-08-06",135.470001
"921","2019-08-07",141.899994
"922","2019-08-08",145.119995
"923","2019-08-09",145.990005
"924","2019-08-12",143.679993
"925","2019-08-13",146.699997
"926","2019-08-14",139.490005
"927","2019-08-15",139.5
"928","2019-08-16",142.570007
"929","2019-08-19",141.270004
"930","2019-08-20",142.139999
"931","2019-08-21",143.869995
"932","2019-08-22",143.440002
"933","2019-08-23",141.050003
"934","2019-08-26",142.860001
"935","2019-08-27",142.619995
"936","2019-08-28",138.270004
"937","2019-08-29",138.050003
"938","2019-08-30",134.509995
"939","2019-09-03",131.889999
"940","2019-09-04",129.830002
"941","2019-09-05",133.339996
"942","2019-09-06",132.210007
"943","2019-09-09",126.269997
"944","2019-09-10",122.25
"945","2019-09-11",122.839996
"946","2019-09-12",125.510002
"947","2019-09-13",127.190002
"948","2019-09-16",130.389999
"949","2019-09-17",133.559998
"950","2019-09-18",134.25
"951","2019-09-19",134.929993
"952","2019-09-20",136.869995
"953","2019-09-23",136.460007
