"","date","OMEX"
"919","2010-08-25",18.6
"920","2010-08-26",18.360001
"921","2010-08-27",17.879999
"922","2010-08-30",18.120001
"923","2010-08-31",18.6
"924","2010-09-01",18.48
"925","2010-09-02",19.200001
"926","2010-09-03",20.16
"927","2010-09-07",19.559999
"928","2010-09-08",19.799999
"929","2010-09-09",19.92
"930","2010-09-10",20.52
"931","2010-09-13",20.879999
"932","2010-09-14",21.48
"933","2010-09-15",22.32
"934","2010-09-16",22.92
"935","2010-09-17",23.4
"936","2010-09-20",22.08
"937","2010-09-21",21.84
"938","2010-09-22",20.76
"939","2010-09-23",21.24
"940","2010-09-24",20.52
"941","2010-09-27",21.6
"942","2010-09-28",21.48
"943","2010-09-29",21.84
"944","2010-09-30",21.959999
"945","2010-10-01",21.84
"946","2010-10-04",21.120001
"947","2010-10-05",21.719999
"948","2010-10-06",23.16
"949","2010-10-07",21.6
"950","2010-10-08",21.959999
"951","2010-10-11",21.360001
"952","2010-10-12",22.200001
"953","2010-10-13",22.08
"954","2010-10-14",22.92
"955","2010-10-15",24.24
"956","2010-10-18",26.16
"957","2010-10-19",24.84
"958","2010-10-20",25.799999
"959","2010-10-21",24.959999
