"","date","CVEO"
"773","2017-06-12",26.16
"774","2017-06-13",25.559999
"775","2017-06-14",24.84
"776","2017-06-15",23.280001
"777","2017-06-16",24
"778","2017-06-19",22.559999
"779","2017-06-20",21.959999
"780","2017-06-21",21.48
"781","2017-06-22",22.08
"782","2017-06-23",23.040001
"783","2017-06-26",23.76
"784","2017-06-27",24.360001
"785","2017-06-28",24.6
"786","2017-06-29",25.32
"787","2017-06-30",25.200001
"788","2017-07-03",26.879999
"789","2017-07-05",25.92
"790","2017-07-06",25.440001
"791","2017-07-07",25.559999
"792","2017-07-10",25.92
"793","2017-07-11",25.200001
"794","2017-07-12",25.559999
"795","2017-07-13",26.879999
"796","2017-07-14",26.879999
"797","2017-07-17",26.040001
"798","2017-07-18",25.440001
"799","2017-07-19",26.76
"800","2017-07-20",26.16
"801","2017-07-21",25.08
"802","2017-07-24",24.959999
"803","2017-07-25",25.440001
"804","2017-07-26",26.16
"805","2017-07-27",26.4
"806","2017-07-28",24.48
"807","2017-07-31",23.16
"808","2017-08-01",22.68
"809","2017-08-02",22.08
"810","2017-08-03",21.84
"811","2017-08-04",23.16
"812","2017-08-07",22.200001
"813","2017-08-08",21.719999
"814","2017-08-09",21.120001
"815","2017-08-10",20.76
"816","2017-08-11",20.76
"817","2017-08-14",21.120001
"818","2017-08-15",21.48
"819","2017-08-16",20.16
"820","2017-08-17",19.08
"821","2017-08-18",19.559999
"822","2017-08-21",20.040001
"823","2017-08-22",20.639999
"824","2017-08-23",20.16
"825","2017-08-24",21.6
"826","2017-08-25",21.719999
"827","2017-08-28",22.32
"828","2017-08-29",23.639999
"829","2017-08-30",23.76
"830","2017-08-31",25.559999
"831","2017-09-01",26.280001
"832","2017-09-05",25.68
"833","2017-09-06",26.76
"834","2017-09-07",27.24
"835","2017-09-08",26.639999
"836","2017-09-11",27.360001
"837","2017-09-12",28.440001
"838","2017-09-13",29.280001
"839","2017-09-14",30.360001
"840","2017-09-15",31.08
"841","2017-09-18",30.719999
"842","2017-09-19",30.24
"843","2017-09-20",30.48
"844","2017-09-21",30.719999
"845","2017-09-22",31.559999
"846","2017-09-25",33.48
"847","2017-09-26",34.439999
"848","2017-09-27",34.799999
"849","2017-09-28",34.560001
"850","2017-09-29",34.200001
"851","2017-10-02",34.200001
"852","2017-10-03",34.200001
"853","2017-10-04",32.040001
"854","2017-10-05",32.279999
"855","2017-10-06",30.24
"856","2017-10-09",31.200001
"857","2017-10-10",31.200001
"858","2017-10-11",29.879999
"859","2017-10-12",29.76
"860","2017-10-13",29.52
"861","2017-10-16",30.120001
"862","2017-10-17",30
"863","2017-10-18",30.48
"864","2017-10-19",29.52
"865","2017-10-20",29.879999
"866","2017-10-23",29.879999
"867","2017-10-24",29.76
"868","2017-10-25",27.24
"869","2017-10-26",24
"870","2017-10-27",23.52
"871","2017-10-30",25.32
"872","2017-10-31",25.08
"873","2017-11-01",25.799999
"874","2017-11-02",27.24
"875","2017-11-03",27.719999
"876","2017-11-06",27.959999
"877","2017-11-07",27.719999
"878","2017-11-08",27.48
"879","2017-11-09",26.879999
"880","2017-11-10",28.08
"881","2017-11-13",27.48
"882","2017-11-14",25.32
"883","2017-11-15",25.08
"884","2017-11-16",24.719999
"885","2017-11-17",23.4
"886","2017-11-20",23.879999
"887","2017-11-21",22.92
"888","2017-11-22",23.879999
"889","2017-11-24",24.120001
"890","2017-11-27",23.76
"891","2017-11-28",24.24
"892","2017-11-29",24.120001
"893","2017-11-30",25.08
"894","2017-12-01",24.6
"895","2017-12-04",25.440001
"896","2017-12-05",26.16
"897","2017-12-06",25.32
"898","2017-12-07",26.280001
"899","2017-12-08",26.280001
"900","2017-12-11",26.76
"901","2017-12-12",26.4
"902","2017-12-13",26.16
"903","2017-12-14",26.16
"904","2017-12-15",26.52
"905","2017-12-18",27
"906","2017-12-19",26.76
"907","2017-12-20",27.48
"908","2017-12-21",28.68
"909","2017-12-22",27.959999
"910","2017-12-26",29.16
"911","2017-12-27",28.92
"912","2017-12-28",31.68
"913","2017-12-29",32.759998
"914","2018-01-02",34.68
"915","2018-01-03",35.040001
"916","2018-01-04",34.68
"917","2018-01-05",35.279999
"918","2018-01-08",36.720001
"919","2018-01-09",36.360001
"920","2018-01-10",36.48
"921","2018-01-11",37.560001
"922","2018-01-12",38.400002
"923","2018-01-16",38.639999
"924","2018-01-17",38.52
"925","2018-01-18",39
"926","2018-01-19",42.360001
"927","2018-01-22",41.880001
"928","2018-01-23",44.639999
"929","2018-01-24",43.32
"930","2018-01-25",43.799999
"931","2018-01-26",42.959999
"932","2018-01-29",42.959999
"933","2018-01-30",41.040001
"934","2018-01-31",42
"935","2018-02-01",41.400002
"936","2018-02-02",39.84
"937","2018-02-05",38.040001
"938","2018-02-06",40.32
"939","2018-02-07",39.84
"940","2018-02-08",38.279999
"941","2018-02-09",38.040001
"942","2018-02-12",39.119999
"943","2018-02-13",42.240002
"944","2018-02-14",41.040001
"945","2018-02-15",39.119999
"946","2018-02-16",40.439999
"947","2018-02-20",40.080002
"948","2018-02-21",39.48
"949","2018-02-22",42.720001
"950","2018-02-23",44.880001
"951","2018-02-26",44.279999
"952","2018-02-27",43.68
"953","2018-02-28",42.599998
"954","2018-03-01",43.919998
"955","2018-03-02",45
"956","2018-03-05",45.240002
"957","2018-03-06",43.560001
"958","2018-03-07",46.200001
"959","2018-03-08",45.84
"960","2018-03-09",45.720001
"961","2018-03-12",46.080002
"962","2018-03-13",46.080002
"963","2018-03-14",45.720001
"964","2018-03-15",48.959999
