"","date","AMAG"
"833","2010-04-23",36.299999
"834","2010-04-26",37.459999
"835","2010-04-27",36.779999
"836","2010-04-28",33.77
"837","2010-04-29",34.18
"838","2010-04-30",34.150002
"839","2010-05-03",34.77
"840","2010-05-04",33.5
"841","2010-05-05",33.220001
"842","2010-05-06",32.290001
"843","2010-05-07",30.65
"844","2010-05-10",31.67
"845","2010-05-11",32.540001
"846","2010-05-12",33.900002
"847","2010-05-13",33.18
"848","2010-05-14",32.419998
"849","2010-05-17",33.779999
"850","2010-05-18",31.959999
"851","2010-05-19",31.73
"852","2010-05-20",30.809999
"853","2010-05-21",30.34
"854","2010-05-24",31.129999
"855","2010-05-25",31.32
"856","2010-05-26",31.309999
"857","2010-05-27",32.360001
"858","2010-05-28",31.84
"859","2010-06-01",31.120001
"860","2010-06-02",33.389999
"861","2010-06-03",33.91
"862","2010-06-04",33.150002
"863","2010-06-07",32.369999
"864","2010-06-08",32.490002
"865","2010-06-09",32.220001
"866","2010-06-10",33.23
"867","2010-06-11",34.330002
"868","2010-06-14",34.029999
"869","2010-06-15",34.93
"870","2010-06-16",34.82
"871","2010-06-17",35.84
"872","2010-06-18",35.349998
"873","2010-06-21",34.779999
"874","2010-06-22",34.580002
"875","2010-06-23",34.700001
"876","2010-06-24",35.470001
"877","2010-06-25",35.599998
"878","2010-06-28",35.66
"879","2010-06-29",35.400002
"880","2010-06-30",34.349998
"881","2010-07-01",34.110001
"882","2010-07-02",34.009998
"883","2010-07-06",33.470001
"884","2010-07-07",35.34
"885","2010-07-08",35.959999
"886","2010-07-09",36.049999
"887","2010-07-12",36.700001
"888","2010-07-13",37.299999
"889","2010-07-14",37.290001
"890","2010-07-15",36.790001
"891","2010-07-16",36
"892","2010-07-19",36
"893","2010-07-20",36.279999
"894","2010-07-21",36.040001
"895","2010-07-22",37.02
"896","2010-07-23",37.75
"897","2010-07-26",39.77
"898","2010-07-27",38.02
"899","2010-07-28",36.189999
"900","2010-07-29",31.65
"901","2010-07-30",31.48
"902","2010-08-02",32.119999
"903","2010-08-03",31.43
"904","2010-08-04",31.9
"905","2010-08-05",31.379999
"906","2010-08-06",31.139999
"907","2010-08-09",30.93
"908","2010-08-10",30.52
"909","2010-08-11",29.110001
"910","2010-08-12",28.879999
"911","2010-08-13",28.450001
"912","2010-08-16",28.77
"913","2010-08-17",29.879999
"914","2010-08-18",29.32
"915","2010-08-19",28.4
"916","2010-08-20",28.690001
"917","2010-08-23",28.450001
"918","2010-08-24",28.41
"919","2010-08-25",29.27
"920","2010-08-26",27.98
"921","2010-08-27",26.110001
"922","2010-08-30",25.41
"923","2010-08-31",25.200001
"924","2010-09-01",25.26
"925","2010-09-02",25.24
"926","2010-09-03",25.42
"927","2010-09-07",25.4
"928","2010-09-08",25.48
"929","2010-09-09",25.23
"930","2010-09-10",25.190001
"931","2010-09-13",25.1
"932","2010-09-14",23.9
"933","2010-09-15",23.99
"934","2010-09-16",23.18
"935","2010-09-17",23.49
"936","2010-09-20",23.49
"937","2010-09-21",19.959999
"938","2010-09-22",20.059999
"939","2010-09-23",18.889999
"940","2010-09-24",18.24
"941","2010-09-27",19.24
"942","2010-09-28",18.68
"943","2010-09-29",17.870001
"944","2010-09-30",17.209999
"945","2010-10-01",19.27
"946","2010-10-04",18.870001
"947","2010-10-05",18.92
"948","2010-10-06",19.309999
"949","2010-10-07",18.85
"950","2010-10-08",18.879999
"951","2010-10-11",19.120001
"952","2010-10-12",20.35
"953","2010-10-13",20.58
